bill_id,,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,senate_probabilities,senate_predictions
S. ,787,A bill to require the Comptroller General of the United States to study and report on the operational preparedness of air carriers for preparing for changing weather and other events related to changing conditions and natural hazards.,,118,D,MA,3,1,2,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/787,0.24%,0
S. ,786,"A bill to amend the Internal Revenue Code of 1986 to treat certain amounts paid for physical activity, fitness, and exercise as amounts paid for medical care.",,118,R,SD,10,2,6,2,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/786,0.24%,0
S. ,785,"A bill to amend the Clean Air Act with respect to the ethanol waiver for Reid Vapor Pressure under that Act, and for other purposes.",,118,R,NE,16,7,9,0,3,,Senate - Environment and Public Works,https://www.congress.gov/bill/118th-congress/senate-bill/785,0.24%,0
S. ,784,"A bill to require the Secretary of the Interior and the Secretary of Agriculture to complete an interagency report on the effects of special recreation permits on environmental justice communities, and for other purposes.",,118,D,NV,0,0,0,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/784,0.24%,0
S. ,783,"A bill to require the Energy Information Administration to submit to Congress and make publicly available an annual report on Federal agency policies and regulations and Executive orders that have increased or may increase energy prices in the United States, and for other purposes.",,118,R,FL,2,0,2,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/783,0.24%,0
S. ,782,"A bill to require applicable Federal agencies to take action on applications for Federal energy authorizations, and for other purposes.",,118,R,FL,0,0,0,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/782,0.24%,0
S. ,781,"A bill to amend the Fair Labor Standards Act of 1938 to revise the definition of the term ""tipped employee"", and for other purposes.",,118,R,IN,0,0,0,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/781,0.24%,0
S. ,780,"A bill to require the Comptroller General of the United States to analyze certain legislation in order to prevent duplication of and overlap with existing Federal programs, offices, and initiatives.",,118,R,KY,1,1,0,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/780,0.24%,0
S. ,779,"A bill to establish an AmeriCorps Administration to carry out the national and volunteer service programs, to expand participation in such programs, and for other purposes.",,118,D,RI,6,6,0,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/779,0.24%,0
S. ,778,"A bill to require the disclosure of information relating to the cost of programs, projects, or activities carried out using Federal funds.",,118,R,IA,1,0,1,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/778,0.24%,0
S. ,777,"A bill to increase, effective as of December 1, 2023, the rates of compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for the survivors of certain disabled veterans, and for other purposes.",,118,D,MT,10,4,5,1,3,,Senate - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/777,0.24%,0
S. ,776,"A bill to amend the Wild and Scenic Rivers Act to designate certain segments of the Gila River system in the State of New Mexico as components of the National Wild and Scenic Rivers System, to provide for the transfer of administrative jurisdiction over certain Federal land in the State of New Mexico, and for other purposes.",,118,D,NM,1,1,0,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/776,0.24%,0
S. ,775,A bill to provide for increased transparency in generic drug applications.,,118,D,NH,1,0,1,0,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/775,0.24%,0
S. ,774,A bill to direct the Secretary of Homeland Security to establish a pilot program to hire transitioning servicemembers to be Border Patrol agents.,,118,D,MT,1,0,1,0,3,,Senate - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/774,0.24%,0
S. ,773,"A bill to exempt from the Lacey Act and the Lacey Act Amendments of 1981 certain water transfers between any of the States of Texas, Arkansas, and Louisiana, and for other purposes.",,118,R,TX,0,0,0,0,3,,Senate - Environment and Public Works,https://www.congress.gov/bill/118th-congress/senate-bill/773,0.24%,0
